Designator,Mid X,Mid Y,Rotation,Layer
AE2,-4.47502,9.596712,115.0,top
C1,-8.127999,5.08,180.0,top
C10,-8.509001,-5.207,270.0,top
C12,4.572,-4.191,90.0,top
C13,5.7404,8.89,0.0,top
C14,-5.9692,-6.4768,90.0,top
C15,7.493,-8.558,180.0,top
C16,1.27,-1.3208,90.0,top
C17,-0.8636,-4.6228,90.0,top
C18,5.7404,10.3632,0.0,top
C19,2.2352,-1.3208,90.0,top
C2,-8.128,8.89,0.0,top
C20,4.3,5.8,270.0,top
C21,-9.5252,-1.4984,225.0,bottom
C22,8.6868,-2.794,90.0,top
C23,-8.4076,-8.4072,225.0,bottom
C24,-0.9908,-10.3376,252.0,bottom
C25,-11.1,1.194,45.0,bottom
C26,-7.3152,-0.1016,135.0,bottom
C27,-3.3528,-4.1148,315.0,bottom
C28,0.467992,-7.812408,135.0,bottom
C29,-6.604,9.4488,45.0,bottom
C3,-4.191,4.063999,180.0,top
C30,-5.5628,5.512,135.0,bottom
C31,5.5624,-5.41,315.0,bottom
C32,9.474,-6.5784,225.0,bottom
C33,-1.6256,11.5316,225.0,bottom
C34,2.9716,6.9344,225.0,bottom
C35,5.5116,3.5308,0.0,bottom
C36,10.9472,-4.4956,135.0,bottom
C37,0.4064,16.4084,45.0,bottom
C38,4.318,9.0932,135.0,bottom
C39,8.5596,5.3088,135.0,bottom
C4,-6.9852,-4.5972,270.0,top
C40,10.0328,1.1432,28.0,bottom
C41,16.4336,0.3812,225.0,bottom
C42,5.9688,14.8084,315.0,bottom
C43,9.8296,13.8432,225.0,bottom
C44,13.8936,9.8808,225.0,bottom
C45,17.8052,5.9184,225.0,bottom
C46,4.4448,20.498,225.0,bottom
C47,11.506,16.2816,135.0,bottom
C48,15.5192,12.2684,315.0,bottom
C49,19.5324,8.2552,135.0,bottom
C50,20.4976,4.3944,45.0,bottom
C51,12.6744,24.9684,225.0,bottom
C52,13.9444,17.958,45.0,bottom
C53,17.9576,13.9448,225.0,bottom
C54,21.9708,9.9316,225.0,bottom
C55,11.176,27.686,45.0,bottom
C56,15.4176,23.3936,225.0,bottom
C57,23.3932,15.418,225.0,bottom
C58,27.432,11.3792,225.0,bottom
C59,16.9924,28.7784,45.0,bottom
C6,-6.35,5.461,90.0,top
C60,20.7264,28.0416,135.0,bottom
C61,24.7396,24.0284,135.0,bottom
C62,28.956,16.8656,45.0,bottom
C63,23.2156,29.8704,15.0,bottom
C64,29.2352,29.2356,45.0,bottom
C65,29.8704,23.2664,75.0,bottom
C66,-5.588,-4.6228,270.0,top
C67,19.4056,19.4056,225.0,bottom
C68,5.145735,22.620934,225.0,top
C69,-9.0172,2.032,180.0,top
C7,-8.382,-2.794,270.0,top
C70,-9.0172,3.048,180.0,top
C8,0.3048,-1.3208,90.0,top
C9,-8.128,4.064,180.0,top
D1,-9.271,-0.761999,0.0,top
D10,12.830768,28.888535,225.0,bottom
D11,-9.523963,2.519363,225.0,bottom
D12,-2.519363,9.523963,45.0,bottom
D13,4.408163,16.451488,45.0,bottom
D14,11.36138,23.404706,45.0,bottom
D15,10.287,-5.588,90.0,top
D16,-6.223,-8.077199,180.0,top
D17,18.314597,30.357923,225.0,bottom
D18,-10.967659,-2.938775,45.0,bottom
D19,-4.014442,4.014442,315.0,bottom
D2,-9.271,0.761999,0.0,top
D20,2.938775,10.967659,225.0,bottom
D21,2.1336,1.0668,90.0,top
D22,9.891993,17.920876,225.0,bottom
D23,16.84521,24.874093,45.0,bottom
D24,23.798427,31.82731,195.0,bottom
D25,-5.50952,-1.49508,225.0,bottom
D26,1.49508,5.50952,45.0,bottom
D27,8.422605,12.437047,45.0,bottom
D28,15.375822,19.390264,225.0,bottom
D29,22.329039,26.343481,225.0,bottom
D3,-7.874,-9.017,180.0,top
D30,-6.953217,-6.953217,45.0,bottom
D31,6.953217,6.953217,225.0,bottom
D32,13.906434,13.906434,45.0,bottom
D33,27.812869,27.812869,225.0,bottom
D34,-1.49508,-5.50952,45.0,bottom
D35,5.50952,1.49508,180.0,bottom
D36,12.437047,8.422605,45.0,bottom
D37,19.390264,15.375822,45.0,bottom
D38,26.343481,22.329039,225.0,bottom
D39,-2.938775,-10.967659,72.0,bottom
D4,-12.065,-1.5748,0.0,top
D40,4.014442,-4.014442,135.0,bottom
D41,10.967659,2.938775,208.0,bottom
D42,17.920876,9.891993,225.0,bottom
D43,24.874093,16.84521,45.0,bottom
D44,31.82731,23.798427,255.0,bottom
D45,2.413,-9.525,225.0,bottom
D46,9.523963,-2.519363,225.0,bottom
D47,16.451488,4.408163,45.0,bottom
