Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C21","100n","C_0603_1608Metric",90.474800,-101.498400,-45.000000,bottom
"C23","100n","C_0603_1608Metric",91.592400,-108.407200,-45.000000,bottom
"C24","100n","C_0603_1608Metric",99.009200,-110.337600,-72.000000,bottom
"C25","100n","C_0603_1608Metric",88.900000,-98.806000,135.000000,bottom
"C26","100n","C_0603_1608Metric",92.684800,-100.101600,45.000000,bottom
"C27","100n","C_0603_1608Metric",96.647200,-104.114800,-135.000000,bottom
"C28","100n","C_0603_1608Metric",100.467992,-107.812408,45.000000,bottom
"C29","100n","C_0603_1608Metric",93.396000,-90.551200,135.000000,bottom
"C30","100n","C_0603_1608Metric",94.437200,-94.488000,45.000000,bottom
"C31","100n","C_0603_1608Metric",105.562400,-105.410000,-135.000000,bottom
"C32","100n","C_0603_1608Metric",109.474000,-106.578400,-45.000000,bottom
"C33","100n","C_0603_1608Metric",98.374400,-88.468400,-45.000000,bottom
"C34","100n","C_0603_1608Metric",102.971600,-93.065600,-45.000000,bottom
"C35","100n","C_0603_1608Metric",105.511600,-96.469200,180.000000,bottom
"C36","100n","C_0603_1608Metric",110.947200,-104.495600,45.000000,bottom
"C37","100n","C_0603_1608Metric",100.406400,-83.591600,135.000000,bottom
"C38","100n","C_0603_1608Metric",104.318000,-90.906800,45.000000,bottom
"C39","100n","C_0603_1608Metric",108.559600,-94.691200,45.000000,bottom
"C40","100n","C_0603_1608Metric",110.032800,-98.856800,152.000000,bottom
"C41","100n","C_0603_1608Metric",116.433600,-99.618800,-45.000000,bottom
"C42","100n","C_0603_1608Metric",105.968800,-85.191600,-135.000000,bottom
"C43","100n","C_0603_1608Metric",109.829600,-86.156800,-45.000000,bottom
"C44","100n","C_0603_1608Metric",113.893600,-90.119200,-45.000000,bottom
"C45","100n","C_0603_1608Metric",117.805200,-94.081600,-45.000000,bottom
"C46","100n","C_0603_1608Metric",104.444800,-79.502000,-45.000000,bottom
"C47","100n","C_0603_1608Metric",111.506000,-83.718400,45.000000,bottom
"C48","100n","C_0603_1608Metric",115.519200,-87.731600,-135.000000,bottom
"C49","100n","C_0603_1608Metric",119.532400,-91.744800,45.000000,bottom
"C50","100n","C_0603_1608Metric",120.497600,-95.605600,135.000000,bottom
"C51","100n","C_0603_1608Metric",112.674400,-75.031600,-45.000000,bottom
"C52","100n","C_0603_1608Metric",113.944400,-82.042000,135.000000,bottom
"C53","100n","C_0603_1608Metric",117.957600,-86.055200,-45.000000,bottom
"C54","100n","C_0603_1608Metric",121.970800,-90.068400,-45.000000,bottom
"C55","100n","C_0603_1608Metric",111.176000,-72.314000,135.000000,bottom
"C56","100n","C_0603_1608Metric",115.417600,-76.606400,-45.000000,bottom
"C57","100n","C_0603_1608Metric",123.393200,-84.582000,-45.000000,bottom
"C58","100n","C_0603_1608Metric",127.432000,-88.620800,-45.000000,bottom
"C59","100n","C_0603_1608Metric",116.992400,-71.221600,135.000000,bottom
"C60","100n","C_0603_1608Metric",120.726400,-71.958400,45.000000,bottom
"C61","100n","C_0603_1608Metric",124.739600,-75.971600,45.000000,bottom
"C62","100n","C_0603_1608Metric",128.956000,-83.134400,135.000000,bottom
"C63","100n","C_0603_1608Metric",123.215600,-70.129600,165.000000,bottom
"C64","100n","C_0603_1608Metric",129.235200,-70.764400,135.000000,bottom
"C65","100n","C_0603_1608Metric",129.870400,-76.733600,105.000000,bottom
"C67","100n","C_0603_1608Metric",119.405600,-80.594400,-45.000000,bottom
"D7","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",91.971116,-91.971116,-45.000000,bottom
"D8","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",98.924334,-85.017899,-45.000000,bottom
